name,price,description,characters
Эмаль ремонтная Kudo KU-7K6101 для ПВХ профиля с кисточкой белая,140,"Эмаль ремонтная Kudo для ПВХ профиля с кисточкой белая обладает хорошей укрывистостью и атмосферостойкостью, имеет превосходную адгезию к окрашиваемой поверхности. Высококачественная эмаль предназначена для окраски пластиковых окон, подоконников, кабель-каналов, сайдинга. Не требует предварительного грунтования. Устойчива к механическим воздействиям и истиранию. Эмаль сохраняет эластичность после высыхания, не растрескивается при эксплуатации окрашенного элемента в условиях низких температур.","['Тип работ внутренние работы / наружные работы', 'Область применения для жилых и офисных помещений / для ПВХ', 'Степень блеска поверхности полуматовая', 'Способ нанесения кисть', 'Разбавитель (растворитель) не разбавлять', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9006 Серебристая 0.52 л,180,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 серебристая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.","['Тип работ внутренние работы / наружные работы', 'Способ нанесения через форсунку баллона', 'Тип поверхности пластик / ПВХ', 'Колеровка готовый цвет', 'Состав, полиолефиновые смолы', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL7040 серая 1.9 кг,1 480,Грунт-эмаль яхтная EXPRESSO. Цвет - серый. Вес упаковки — 1.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL8017 шоколадный 1.9 кг,1 260,Грунт-эмаль яхтная EXPRESSO. Цвет - шоколадный. Вес упаковки — ,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL9016 белая 1.9 кг,1 480,Грунт-эмаль яхтная EXPRESSO. Цвет - белый. Вес упаковки — 1.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль EXPRESSO яхтная до -20С желтая (0.9кг),790,Грунт-эмаль яхтная EXPRESSO.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для надводного борта / для защиты металла в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', 'Колеровка готовый цвет', 'Готовность к применению готов к применению', 'Бренд EXPRESSO', 'Страна производителя РОССИЯ', 'Цвет белый', 'Разбавитель (растворитель) ксилол', 'Способ нанесения кисть / валик / безвоздушное', 'Время полного высыхания (ч) 4', 'Расход (1 слой), (г/кв.м) 300-350', 'Температура применения, (град. C) от -20 до +35', 'Рекомендованное количество слоев покрытия 2-3', 'Время высыхания между слоями (ч) 2', 'Поверхность готова к нагрузке (ч) 72', 'Фасовка, (кг) 0.9']"
Грунт-эмаль яхтная Лаковар до -20С RAL9006 серый серебристый (0.9кг),790,Особенности:,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL9005 черная 0.9 кг,790,Грунт-эмаль яхтная EXPRESSO. Цвет - черный. Вес упаковки — 0.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL8017 шоколадная 0.9 кг,790,Грунт-эмаль яхтная EXPRESSO. Цвет - шоколадный. Вес упаковки — 0.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL7040 серая 0.9 кг,790,Грунт-эмаль яхтная EXPRESSO RAL7040 серая. Вес упаковки — 0.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
